Row Labels,Commodities,Consumer,Financials,Healthcare,Industrials,Other,TMT,Utilities
1926,1.265333333,2.649814815,0.429583333,2.491333333,0.832833333,0.457142857,0.751458333,1.383333333
1927,1.289166667,2.614537037,3.547708333,2.611166667,2.801416667,0.476904762,1.901145833,2.6425
1928,1.204666667,2.075925926,3.507916667,2.3465,3.423583333,1.3725,1.663541667,4.285
1929,-1.412833333,-1.323148148,-1.649166667,-0.472833333,-1.257333333,-2.742738095,-1.361979167,2.015
1930,-2.939833333,-2.169907407,-3.990208333,-1.034333333,-2.961416667,-2.438690476,-3.007604167,-1.575
1931,-4.180333333,-2.918518519,-4.100208333,-1.826166667,-3.803083333,-4.045833333,-2.832083333,-3.253333333
1932,1.988666667,-0.402685185,1.572916667,-0.450833333,1.2725,0.745238095,1.210625,1.411666667
1933,5.322166667,4.785555556,6.214583333,3.0115,6.927083333,7.491547619,6.359583333,-1.681666667
1934,0.220833333,1.437037037,2.050416667,1.607666667,0.733,1.444285714,2.8834375,-1.691666667
1935,1.882,1.532037037,4.213541667,1.6865,4.1245,1.806309524,4.580729167,5.5
1936,2.485833333,1.452037037,3.089583333,1.041333333,3.092666667,2.048571429,3.256770833,1.76
1937,-3.415833333,-3.298981481,-4.666458333,-1.664333333,-3.295,-3.736309524,-3.283229167,-3.431666667
1938,2.095166667,2.186851852,2.573125,2.214166667,3.642166667,3.269642857,3.172083333,2.219166667
1939,0.859666667,0.210462963,-0.578333333,0.484833333,0.342833333,1.115952381,-1.675208333,1.36
1940,0.232833333,-0.327962963,0.382083333,-0.738833333,-0.28775,-0.071071429,-0.071770833,-1.17
1941,0.082,-0.553981481,-0.783958333,0.222166667,-1.025916667,-0.695357143,-0.7096875,-3.350833333
1942,0.972166667,1.71537037,2.059583333,1.456166667,1.6955,1.352619048,2.5040625,1.715
1943,2.103666667,3.285185185,4.209375,1.530833333,2.262583333,2.376428571,3.338854167,3.738333333
1944,1.907166667,1.914444444,2.026041667,0.850333333,2.024416667,2.245357143,2.017916667,1.345833333
1945,2.741166667,3.862222222,4.000208333,2.415333333,2.862,2.450714286,3.011041667,3.595
1946,0.158333333,-0.541944444,-0.981458333,0.813333333,-1.293666667,0.142857143,0.26625,0.5275
1947,1.601833333,-0.219907407,0.168958333,-0.559833333,0.12025,0.229047619,-0.583229167,-0.906666667
1948,0.396,-0.448981481,0.726875,0.475,0.21625,-0.06797619,-0.0265625,0.4675
1949,0.556166667,1.844907407,2.532083333,2.116166667,1.587916667,1.333214286,1.748958333,2.436666667
1950,2.928333333,1.22287037,1.418541667,1.707666667,2.31075,1.655833333,1.168229167,0.514166667
1951,1.0715,0.252685185,1.74375,1.171166667,1.44975,1.220238095,1.378958333,1.743333333
1952,0.443166667,0.707592593,2.105625,-0.197833333,1.0975,0.755,0.23625,1.681666667
1953,-0.8655,0.207592593,0.255833333,0.487833333,0.154583333,-0.025833333,0.498541667,0.665
1954,3.421166667,2.633148148,3.632708333,2.468,3.868166667,2.703690476,3.48,2.023333333
1955,1.9135,0.975833333,0.534791667,1.361666667,1.886666667,0.667738095,1.2240625,0.985
1956,1.051166667,0.179444444,0.414166667,0.5395,0.8145,0.605595238,0.855520833,0.586666667
1957,-1.936833333,0.076944444,-0.250416667,0.824166667,-1.196416667,-0.790833333,-0.022708333,0.526666667
1958,3.016833333,3.353796296,3.447708333,3.007333333,2.759833333,3.441904762,3.3890625,2.913333333
1959,0.7475,1.449814815,0.347083333,1.978333333,0.78275,1.8825,1.371770833,0.3275
1960,-0.755333333,1.216388889,0.397083333,0.347333333,-0.2875,0.965595238,0.877916667,1.643333333
1961,1.926,2.297407407,3.282291667,1.211333333,1.576916667,0.966071429,1.617708333,2.118333333
1962,-0.429333333,-1.684907407,-0.888958333,-0.747,-0.822916667,-1.600357143,-1.324895833,0.116666667
1963,2,1.00037037,0.552708333,1.258833333,1.0375,1.400833333,1.463020833,0.93
1964,1.798166667,1.454351852,-0.0775,1.043666667,2.10625,0.58797619,0.419375,1.258333333
1965,1.176666667,1.921851852,0.953958333,2.0425,2.767916667,3.3975,2.13875,0.249166667
1966,-0.281333333,-0.639166667,-0.341041667,-0.3005,-0.901,-0.284047619,-0.572395833,-0.365833333
1967,2.957166667,3.240462963,2.720416667,2.3075,3.890083333,2.747261905,4.747291667,0.126666667
1968,2.313666667,1.94287037,4.678125,0.823166667,1.177333333,2.056785714,0.7665625,1.011666667
1969,-1.955833333,-0.449444444,-1.2475,1.142333333,-2.17,-2.21547619,-1.1259375,-1.208333333
1970,1.372666667,0.191666667,-0.015208333,-1.868833333,-0.22625,-1.287142857,-2.208229167,1.456666667
1971,0.1955,2.153611111,1.752291667,2.005,1.61625,1.961309524,1.420104167,0.2325
1972,0.415833333,1.247685185,0.582083333,1.401333333,0.735166667,0.836904762,0.009375,0.859166667
